# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = regression_model
# start_datetime = 2021-06-10 01:56:18 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 100
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = ./regression_normal/input_b5.json
# init = 2 (Default)
# random
#   seed = 4207672239 (Default)
# output
#   file = ./regression_normal/output_b5.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 888c0f6a
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,B,alpha,sigma,s
# Adaptation terminated
# Step size = 0.194889
# Diagonal elements of inverse mass matrix:
# 1, 1, 1, 1
-23.3153,0.991017,0.194889,4,15,0,24.3381,1.53617,14.5653,3.75909,1.06276
-23.2358,0.987706,0.194889,4,23,0,23.657,2.18884,15.0533,3.71087,2.11564
-22.9235,0.928273,0.194889,4,31,0,25.4753,3.7989,14.2836,3.04453,2.37035
-23.1088,0.994501,0.194889,4,31,0,23.5237,3.14128,13.8646,3.17395,2.12252
-23.3048,0.89069,0.194889,4,27,0,25.2393,1.05305,14.6436,3.42586,1.44814
-23.114,0.994508,0.194889,4,27,0,24.1518,-0.417008,15.9946,3.58426,0.592908
-22.8858,0.959246,0.194889,3,7,0,23.988,-0.177402,15.9936,4.05495,0.661778
-22.5299,0.897232,0.194889,2,3,0,24.3861,-0.0397754,16.0291,3.763,0.577157
-25.1081,0.911635,0.194889,3,7,0,26.3691,-0.585142,15.2371,4.28671,0.309496
-22.6349,0.989968,0.194889,4,15,0,25.6969,0.21561,16.0331,3.3614,0.855068
-22.8885,0.869471,0.194889,2,7,0,23.5543,0.182686,15.9465,4.34239,0.65505
-23.3785,0.958808,0.194889,3,7,0,24.3874,0.92992,16.4872,3.00734,0.63076
-24.793,0.902729,0.194889,4,15,0,25.1511,-1.08129,16.9708,4.76232,0.997508
-25.1284,1,0.194889,3,7,0,25.4821,-1.38166,16.7119,3.24905,1.19129
-25.81,0.623792,0.194889,4,31,0,28.1168,-0.379033,16.0363,2.45576,0.910982
-23.5534,1,0.194889,1,1,0,25.0357,-0.373271,16.0547,3.14713,0.960738
-24.2097,0.986213,0.194889,3,15,0,25.7872,0.664781,16.7337,3.86986,2.36413
-26.8105,0.619134,0.194889,3,15,0,28.514,1.79619,16.6369,3.16478,5.20841
-24.6932,0.96013,0.194889,4,23,0,28.6099,2.61736,14.7006,2.74201,0.997651
-24.53,0.854129,0.194889,4,31,0,27.7458,4.92353,13.8941,4.2068,3.04889
-23.6864,0.858795,0.194889,2,3,0,25.7078,4.49654,13.9789,2.34457,3.52881
-23.9591,0.649749,0.194889,4,31,0,26.5756,1.87382,14.5757,4.37899,1.99222
-25.2729,0.936269,0.194889,3,7,0,26.5579,1.44223,13.7992,3.01242,2.55236
-26.8525,0.711532,0.194889,5,39,0,28.2901,1.40837,16.8238,6.13396,0.771164
-28.1993,0.894503,0.194889,4,31,0,29.0448,0.0707471,17.2398,6.75462,2.76699
-22.6462,0.799343,0.194889,2,7,1,33.8207,0.00287474,16.8935,3.65614,0.629926
-22.6778,0.989038,0.194889,3,15,0,23.87,0.860457,15.6297,3.23092,0.824251
-23.5044,0.956513,0.194889,3,15,0,24.8542,1.27166,15.669,3.51778,2.35121
-23.1791,0.996239,0.194889,4,15,0,23.8977,0.672053,15.0626,3.61772,0.469406
-24.7464,0.931909,0.194889,3,7,0,26.9083,-0.331774,15.3025,3.54819,0.16985
-22.9936,0.706891,0.194889,4,23,0,29.4138,-0.390678,16.6235,3.56896,0.427552
-22.6465,0.96,0.194889,3,7,0,23.4314,0.147654,16.6268,4.2243,0.403264
-23.3211,0.928445,0.194889,4,15,0,25.4598,1.71582,15.9512,3.08612,2.08448
-25.6102,0.978751,0.194889,3,15,0,27.1213,3.77879,16.2832,3.61238,1.79488
-24.7269,0.977499,0.194889,3,7,0,26.7027,2.75346,16.2346,3.0777,3.1951
-24.2206,1,0.194889,3,7,0,25.0777,2.80193,16.0656,3.10898,2.83708
-25.0395,0.947442,0.194889,4,23,0,26.0595,2.27803,16.3188,4.01624,1.00785
-25.0395,0.808598,0.194889,2,3,0,27.5522,2.27803,16.3188,4.01624,1.00785
