# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = normal_mixture_model
# start_datetime = 2021-05-27 02:58:21 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 50
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = ./ex_toy02/inputs.json
# init = 2 (Default)
# random
#   seed = 3001794802 (Default)
# output
#   file = ./ex_toy02/output.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 888c0f6a
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,r,mu,sigma
# Adaptation terminated
# Step size = 0.0623868
# Diagonal elements of inverse mass matrix:
# 1, 1, 1
-92.3865,0.973115,0.0623868,3,7,0,92.6099,0.594089,-0.851784,0.437118
-92.8245,0.993668,0.0623868,3,7,0,93.4173,0.634292,-0.937954,0.371922
-93.0218,0.9166,0.0623868,3,15,0,94.5241,0.616467,-0.887124,0.34088
-92.1788,0.861601,0.0623868,3,7,0,95.7105,0.530842,-0.851645,0.427869
-92.0578,0.928462,0.0623868,3,7,0,93.9163,0.539374,-0.867484,0.431523
-91.9257,0.854591,0.0623868,2,7,0,93.7447,0.584391,-0.935405,0.41008
-91.5878,0.999141,0.0623868,3,7,0,92.0426,0.572372,-0.91107,0.348399
-92.0434,0.604697,0.0623868,2,3,0,94.3747,0.594426,-0.916655,0.344207
-92.6076,0.63714,0.0623868,2,3,0,94.6524,0.574684,-0.961693,0.316841
-92.5996,0.986744,0.0623868,3,11,0,93.6174,0.431239,-0.934042,0.411404
-94.7513,0.761442,0.0623868,3,7,0,95.284,0.440395,-0.877378,0.323315
-92.8455,1,0.0623868,2,3,0,94.6703,0.462234,-1.09264,0.369554
-91.5815,0.981864,0.0623868,2,3,0,93.3985,0.440614,-1.00344,0.372448
-92.2351,0.922922,0.0623868,2,3,0,92.697,0.427007,-0.967765,0.397713
-91.9635,1,0.0623868,2,3,0,92.328,0.424792,-0.976207,0.379493
-91.4896,0.974507,0.0623868,3,7,0,93.1945,0.475149,-0.991976,0.396108
-91.2534,0.928589,0.0623868,2,7,0,93.2461,0.498801,-0.904529,0.381288
-92.4347,0.952548,0.0623868,3,15,0,93.1963,0.596883,-0.995349,0.349342
-92.4347,0.446891,0.0623868,2,5,0,97.613,0.596883,-0.995349,0.349342
-92.0343,1,0.0623868,1,1,0,92.3686,0.593805,-0.974023,0.34963
-91.4338,0.958354,0.0623868,4,15,0,93.1376,0.584208,-0.930765,0.375672
-92.3939,0.931246,0.0623868,3,11,0,93.3619,0.431521,-1.00965,0.324896
-92.0479,0.744004,0.0623868,4,15,0,95.2961,0.562023,-0.842011,0.385593
-92.5141,0.926568,0.0623868,3,13,0,94.4316,0.45014,-1.07605,0.347538
-92.1703,0.974574,0.0623868,3,15,0,94.0698,0.518628,-0.873163,0.347628
-92.2288,0.913834,0.0623868,2,7,0,93.9098,0.548778,-1.01885,0.325678
-92.9038,0.967214,0.0623868,2,3,0,93.7653,0.569333,-0.923552,0.315013
-93.0798,0.892976,0.0623868,3,11,0,93.966,0.512456,-0.999736,0.443614
-98.3145,0.797041,0.0623868,2,7,0,99.6164,0.517365,-0.96094,0.572457
-95.0722,0.949696,0.0623868,2,7,0,99.2849,0.554724,-0.785018,0.535613
-93.5308,0.987831,0.0623868,3,11,0,95.8587,0.647716,-0.951226,0.382105
-93.0952,1,0.0623868,1,1,0,93.4419,0.645261,-0.923839,0.379395
-92.564,0.932005,0.0623868,2,3,0,93.7751,0.630713,-0.913046,0.371415
-92.0734,0.971523,0.0623868,3,7,0,92.9946,0.607551,-0.941039,0.35772
-92.7096,0.635885,0.0623868,3,11,0,95.4395,0.459113,-1.00966,0.426023
-93.4476,0.974667,0.0623868,3,7,0,95.6298,0.392389,-1.06862,0.380381
-93.5048,0.972598,0.0623868,4,15,0,94.5522,0.647768,-0.835385,0.460913
-96.0607,0.912486,0.0623868,3,7,0,97.3081,0.723916,-0.82792,0.393076
-97.9464,0.828121,0.0623868,3,11,0,101.752,0.517616,-0.749282,0.6035
-94.088,1,0.0623868,2,3,0,98.1237,0.51937,-0.775493,0.469853
-92.1406,0.976169,0.0623868,3,15,0,94.9702,0.477869,-1.01986,0.409254
-91.3242,0.995113,0.0623868,3,15,0,93.716,0.506198,-0.997823,0.390649
-93.0903,0.865963,0.0623868,3,11,0,93.6681,0.522528,-1.05256,0.413483
-92.3164,0.959179,0.0623868,2,7,0,93.5184,0.496132,-0.85084,0.404382
-93.126,0.991256,0.0623868,3,11,0,96.5474,0.629318,-0.965532,0.389471
-93.7024,0.99908,0.0623868,4,15,0,93.8348,0.648062,-0.811214,0.384727
-93.5437,0.980178,0.0623868,3,15,0,94.4792,0.596658,-0.896099,0.473323
-96.2854,0.671361,0.0623868,2,3,0,97.2009,0.588148,-1.0196,0.484357
-91.96,0.917566,0.0623868,3,15,0,97.2064,0.468091,-1.00913,0.321372
-92.1233,0.995697,0.0623868,3,15,0,92.9208,0.59219,-0.861164,0.423588
-92.9193,0.908203,0.0623868,4,15,0,94.3252,0.623951,-0.875211,0.3535
-92.3033,0.976479,0.0623868,4,15,0,93.2465,0.598596,-0.976469,0.387372
-92.5661,0.968946,0.0623868,3,7,0,93.8262,0.580789,-0.889548,0.448428
-93.0441,0.891655,0.0623868,2,7,0,94.4842,0.55982,-0.794647,0.449357
-92.1478,0.982756,0.0623868,3,7,0,93.0994,0.569053,-0.985802,0.326141
-91.8719,0.970203,0.0623868,3,11,0,93.9345,0.482009,-0.910086,0.415099
-94.9773,0.678442,0.0623868,3,7,0,95.2914,0.503702,-1.07026,0.45486
-91.4483,0.858063,0.0623868,2,3,0,97.258,0.513493,-0.910348,0.409099
-91.2839,0.979196,0.0623868,3,7,0,92.5131,0.49226,-0.959625,0.399025
-91.2061,0.944667,0.0623868,2,3,0,91.9617,0.506439,-0.912454,0.392712
-91.7445,0.986006,0.0623868,2,7,0,92.3542,0.539888,-0.905851,0.424014
-94.5609,0.948737,0.0623868,3,15,0,96.9812,0.689071,-0.706347,0.517519
-93.983,0.876963,0.0623868,3,15,0,98.4219,0.551495,-0.869225,0.4986
-91.9323,1,0.0623868,2,3,0,93.9726,0.551671,-0.844934,0.398676
-92.1765,0.880145,0.0623868,2,7,0,94.3849,0.529789,-0.91748,0.439108
-92.9805,0.990979,0.0623868,3,7,0,93.4276,0.524856,-0.823318,0.451069
-91.4258,1,0.0623868,3,7,0,92.854,0.539141,-1.00742,0.342836
-91.3817,0.994531,0.0623868,3,11,0,92.5501,0.569367,-0.894087,0.390464
-91.6868,0.983517,0.0623868,4,15,0,92.5856,0.562692,-0.91353,0.416796
-92.5373,0.971756,0.0623868,2,7,0,92.8965,0.537855,-0.865016,0.451222
-91.2169,0.816612,0.0623868,2,3,0,94.1531,0.55457,-0.923333,0.394787
-91.4083,0.694352,0.0623868,2,3,0,93.9785,0.578699,-0.949053,0.358395
-91.3759,0.999566,0.0623868,4,15,0,91.4401,0.576187,-0.932367,0.355886
-91.8024,0.946739,0.0623868,2,7,0,92.5517,0.559571,-0.886762,0.422978
-91.1589,1,0.0623868,2,3,0,91.8017,0.551874,-0.919795,0.391803
-92.0619,0.983441,0.0623868,3,11,0,92.3975,0.437899,-1.01334,0.330658
-91.9212,0.931536,0.0623868,3,7,0,93.788,0.549693,-0.930148,0.426939
-91.093,0.720004,0.0623868,2,3,0,94.5293,0.558648,-0.959064,0.36238
-92.2179,0.800907,0.0623868,2,7,0,93.0321,0.532003,-0.835307,0.405954
-91.6416,0.98707,0.0623868,2,7,0,93.6757,0.482911,-0.995164,0.402913
-91.1392,0.994671,0.0623868,2,7,0,93.824,0.514933,-0.934621,0.397224
-92.2372,0.783359,0.0623868,3,15,0,95.5053,0.6203,-0.903563,0.374237
-93.6165,0.847711,0.0623868,3,11,0,95.2618,0.586403,-0.961853,0.306327
-93.4207,0.909083,0.0623868,3,15,0,97.3073,0.423428,-1.02284,0.427717
-92.5501,0.826924,0.0623868,3,15,0,99.0054,0.59829,-0.910776,0.434534
-97.6575,0.918962,0.0623868,3,7,0,98.3286,0.705698,-0.970117,0.342412
-96.1993,1,0.0623868,2,3,0,97.5061,0.695602,-0.920541,0.343172
-95.8548,0.957401,0.0623868,3,15,0,97.6046,0.56613,-0.707059,0.554313
-94.0147,0.927713,0.0623868,3,11,0,100.947,0.42984,-1.00363,0.451184
-94.8583,0.865555,0.0623868,2,3,0,96.4782,0.417009,-1.12468,0.410702
-93.9757,0.950372,0.0623868,2,3,0,95.7896,0.399366,-0.907406,0.349717
-92.6502,1,0.0623868,3,15,0,95.0483,0.475188,-1.08271,0.343661
-91.688,0.959262,0.0623868,3,7,0,93.369,0.506723,-1.02471,0.389627
-91.9565,0.853279,0.0623868,2,3,0,93.607,0.500426,-1.05734,0.366157
-91.0523,0.994837,0.0623868,2,5,0,91.9248,0.483452,-0.936158,0.372998
-94.322,0.772733,0.0623868,3,7,0,94.7741,0.446559,-0.96965,0.471788
-94.6819,1,0.0623868,2,3,0,95.0698,0.434094,-0.947722,0.477703
-93.4965,0.923016,0.0623868,3,15,0,98.2462,0.586265,-0.859908,0.332401
-93.4965,0.416938,0.0623868,1,1,0,95.3826,0.586265,-0.859908,0.332401
-93.6901,0.854187,0.0623868,2,3,0,94.8648,0.562641,-1.04083,0.419958
-94.6771,0.977942,0.0623868,3,11,0,95.0379,0.431176,-1.13916,0.349876
-92.5401,1,0.0623868,2,3,0,94.4267,0.424021,-1.06409,0.367454
-91.3892,1,0.0623868,2,3,0,92.5472,0.446777,-0.97434,0.356755
-91.2836,0.97541,0.0623868,2,7,0,92.0081,0.461767,-0.94354,0.36647
-91.8031,0.901646,0.0623868,2,3,0,92.7195,0.44017,-1.01312,0.338382
-91.8785,0.986178,0.0623868,3,7,0,92.2937,0.430271,-0.98463,0.383398
-93.7497,0.633651,0.0623868,3,7,0,95.5355,0.431822,-1.04355,0.433428
-91.3971,0.920911,0.0623868,3,7,0,95.5296,0.46171,-0.968403,0.389047
-91.2786,0.987322,0.0623868,3,7,0,91.7194,0.464385,-0.999241,0.342883
-91.5618,0.934549,0.0623868,4,15,0,92.4022,0.476871,-0.969506,0.404403
-93.2358,0.983581,0.0623868,3,11,0,93.7819,0.636194,-0.953653,0.351542
-93.0474,0.986372,0.0623868,4,15,0,93.8096,0.575807,-0.836182,0.470283
-92.8306,0.929433,0.0623868,3,15,0,95.0837,0.492592,-0.953046,0.306268
-91.3668,0.45654,0.0623868,2,3,0,95.8278,0.472332,-0.995041,0.334341
-92.2329,0.841106,0.0623868,2,3,0,92.3799,0.474172,-0.924382,0.326807
-92.5493,0.565841,0.0623868,2,7,0,96.0447,0.504409,-1.07688,0.347957
-92.5437,0.972214,0.0623868,3,15,0,93.5339,0.53897,-0.853674,0.449383
-93.5368,0.990833,0.0623868,3,7,0,94.2913,0.438165,-0.973118,0.305258
-91.3383,0.98964,0.0623868,2,3,0,93.6022,0.449521,-0.99176,0.354571
-92.021,0.984613,0.0623868,3,7,0,92.2459,0.418493,-0.981211,0.3679
-93.1244,0.953534,0.0623868,2,3,0,93.2283,0.393835,-1.03339,0.338288
-91.4228,1,0.0623868,3,7,0,93.2837,0.446927,-0.962242,0.363868
-91.7361,0.875857,0.0623868,2,3,0,92.3661,0.456473,-0.999507,0.396202
-91.0398,0.997285,0.0623868,4,15,0,92.5472,0.550594,-0.957273,0.376573
-91.8237,0.898007,0.0623868,2,3,0,92.2936,0.558304,-1.00451,0.336608
-92.8069,0.865818,0.0623868,3,15,0,93.4374,0.490993,-0.833359,0.39991
-92.8069,0.45829,0.0623868,1,3,0,97.2635,0.490993,-0.833359,0.39991
-92.603,0.995732,0.0623868,3,7,0,93.6735,0.556843,-1.05147,0.360674
-93.71,0.9146,0.0623868,2,7,0,94.52,0.581663,-0.794965,0.37279
-96.0398,0.866728,0.0623868,2,3,0,96.6764,0.568343,-1.12984,0.356191
-95.2521,0.9772,0.0623868,3,15,0,97.4577,0.447254,-1.04493,0.472795
-93.8144,1,0.0623868,3,15,0,96.3024,0.552978,-1.05133,0.31191
-95.3673,0.801565,0.0623868,2,3,0,96.6264,0.54973,-0.878111,0.300046
-91.68,0.317232,0.0623868,2,3,0,100.034,0.572621,-0.961624,0.39624
-91.1206,0.996997,0.0623868,2,7,0,91.9984,0.523773,-0.907646,0.361575
-91.1553,0.998617,0.0623868,2,7,0,91.2726,0.502612,-1.01631,0.361858
-91.9121,0.985567,0.0623868,3,7,0,92.0645,0.515042,-0.866423,0.413887
-91.6536,0.969823,0.0623868,2,7,0,92.6898,0.538115,-1.02041,0.341064
-92.2267,0.852464,0.0623868,3,15,0,94.8484,0.492525,-0.999428,0.421322
-91.131,1,0.0623868,2,7,0,92.3991,0.477369,-0.940089,0.356037
-91.4159,0.968229,0.0623868,3,7,0,91.7781,0.445227,-0.980052,0.369016
-92.4625,0.781474,0.0623868,3,7,0,94.6289,0.471832,-1.05118,0.40184
-91.188,0.98924,0.0623868,3,15,0,93.9546,0.527052,-0.925575,0.344392
-90.9458,1,0.0623868,2,3,0,91.1472,0.528126,-0.936305,0.35186
-90.9564,0.917486,0.0623868,3,11,0,91.6412,0.491647,-0.979303,0.376983
-91.2891,0.999376,0.0623868,3,15,0,91.5313,0.570512,-0.956831,0.357981
-93.8581,0.777833,0.0623868,4,15,0,94.827,0.636761,-0.985791,0.3447
-92.6746,0.985201,0.0623868,2,3,0,94.1874,0.6084,-0.850465,0.364566
-92.3367,0.634099,0.0623868,3,11,0,96.5481,0.479221,-0.869779,0.364945
-91.5048,1,0.0623868,2,7,0,92.3265,0.474727,-0.91435,0.357775
-92.8965,0.645692,0.0623868,1,1,0,92.9889,0.474642,-0.858578,0.359378
-93.0781,0.997711,0.0623868,2,7,0,95.7857,0.409486,-1.06419,0.387249
-92.1415,0.990691,0.0623868,3,7,0,93.7293,0.41595,-1.0124,0.350788
-92.5916,0.883903,0.0623868,3,7,0,93.2264,0.410872,-0.941117,0.370324
-92.3677,0.999022,0.0623868,3,7,0,92.6434,0.411124,-0.971288,0.380492
-92.752,0.997133,0.0623868,3,7,0,92.9113,0.402632,-1.03091,0.341836
-93.7876,0.86849,0.0623868,2,3,0,94.4317,0.381702,-1.04759,0.334319
-91.3432,0.99771,0.0623868,3,11,0,94.3678,0.517754,-0.904058,0.402406
-91.0473,0.992896,0.0623868,2,3,0,91.4142,0.518214,-0.919444,0.388116
-90.9487,0.892105,0.0623868,3,7,0,92.3407,0.547658,-0.949722,0.359457
-91.111,0.967505,0.0623868,2,7,0,91.588,0.555517,-0.910718,0.377047
-92.4335,0.915941,0.0623868,3,15,0,92.6406,0.425307,-0.921622,0.373517
-91.3312,0.944678,0.0623868,2,7,0,94.2784,0.456163,-1.00847,0.366957
-91.1914,0.938578,0.0623868,2,3,0,91.9063,0.466534,-0.985409,0.344417
-91.3927,0.973152,0.0623868,3,7,0,91.4429,0.468479,-0.954822,0.33953
-91.0964,0.943053,0.0623868,3,15,0,95.3254,0.556905,-0.950326,0.353966
-91.0514,0.920478,0.0623868,3,15,0,91.7927,0.494274,-0.982316,0.383103
-90.9935,1,0.0623868,3,7,0,91.1518,0.483209,-0.951785,0.376596
-91.1946,0.905513,0.0623868,2,3,0,91.9091,0.494785,-1.01991,0.361989
-91.1946,0.766425,0.0623868,2,3,0,93.42,0.494785,-1.01991,0.361989
-91.4906,0.880245,0.0623868,2,3,0,92.2664,0.49102,-0.905893,0.353905
-92.5631,0.457326,0.0623868,2,7,0,95.661,0.491598,-1.04674,0.408225
-91.9344,0.892769,0.0623868,2,3,0,94.2147,0.495156,-0.905746,0.423304
-92.2736,0.961476,0.0623868,2,7,0,92.8588,0.481374,-0.957152,0.431016
-91.0353,0.989424,0.0623868,3,7,0,92.5537,0.478532,-0.947938,0.373518
-91.6306,0.971644,0.0623868,3,7,0,91.8052,0.538211,-0.970733,0.325105
-91.4756,0.772113,0.0623868,2,3,0,93.1981,0.529403,-1.02063,0.370825
-93.0097,0.891609,0.0623868,3,11,0,94.862,0.448671,-0.891073,0.42991
-91.5789,0.962477,0.0623868,3,7,0,94.4188,0.466923,-0.942009,0.338915
