# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = laplacian_prior_model
# start_datetime = 2021-05-27 03:54:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 50
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = ./laplacian_prior/psi2.json
# init = 2 (Default)
# random
#   seed = 3005167328 (Default)
# output
#   file = ./laplacian_prior/output2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 888c0f6a
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,B,s
# Adaptation terminated
# Step size = 0.169025
# Diagonal elements of inverse mass matrix:
# 1, 1
-1.12772,0.086608,0.169025,2,7,0,3.61986,0.0623175,0.0841677
-1.02768,0.299337,0.169025,3,7,0,1.33692,-0.0547439,0.0741784
-1.02768,0.000454882,0.169025,1,1,0,2.78242,-0.0547439,0.0741784
-1.02768,0.171933,0.169025,2,3,0,2.74973,-0.0547439,0.0741784
-1.30867,0.30052,0.169025,2,3,0,1.9327,-0.0803107,0.0843666
-1.55259,0.351835,0.169025,3,9,1,3.68647,0.0235767,0.153424
-1.69682,0.999185,0.169025,3,7,0,1.79656,-0.0308078,0.167389
-2.20782,0.934276,0.169025,2,3,0,2.35761,-0.158815,0.182274
-2.87306,0.87137,0.169025,2,7,0,3.07252,0.246255,0.14777
-4.78331,0.786695,0.169025,1,3,0,5.71883,0.43035,0.174842
-3.37665,1,0.169025,1,1,0,4.51973,0.319893,0.181094
-5.79674,0.636791,0.169025,1,3,0,6.76716,0.571388,0.210384
-4.79693,1,0.169025,2,5,0,7.25023,0.567948,0.299219
-2.00222,0.814483,0.169025,2,7,0,5.84091,-0.115247,0.178915
-2.60318,0.934391,0.169025,2,7,0,2.69072,0.22583,0.159673
-1.70414,1,0.169025,2,3,0,2.4503,-0.0691466,0.16051
-1.70741,0.9544,0.169025,2,3,0,2.06663,-0.0818013,0.156427
-4.58663,0.485538,0.169025,3,7,0,5.55056,0.475455,0.216049
-2.66948,0.900227,0.169025,2,3,0,5.3942,0.218685,0.214521
-3.0705,0.979634,0.169025,2,3,0,3.39604,0.269833,0.246947
-2.59048,0.981639,0.169025,2,3,0,3.40883,-0.188599,0.222756
-1.04605,0.761091,0.169025,3,9,0,2.64229,0.041514,0.0937226
-0.94005,1,0.169025,1,1,0,0.974786,-0.0100152,0.0923276
-0.94005,0.0483403,0.169025,1,1,0,2.01478,-0.0100152,0.0923276
-1.29783,0.855996,0.169025,2,7,0,1.61166,0.0713888,0.106276
-1.1291,1,0.169025,1,3,0,1.23883,0.0159831,0.110968
-1.1291,0.554127,0.169025,1,1,0,1.59414,0.0159831,0.110968
-2.00387,0.608944,0.169025,2,7,0,2.07441,-0.150423,0.117285
-1.9942,1,0.169025,2,3,0,1.99575,0.151131,0.122511
-2.03274,1,0.169025,2,3,0,2.38783,0.156637,0.130772
-1.56408,0.973431,0.169025,2,3,0,2.36909,-0.0724361,0.142849
-2.05445,0.987324,0.169025,2,7,0,2.47746,-0.0622309,0.200109
-2.49405,0.94789,0.169025,3,7,0,3.03744,-0.0017899,0.249
-0.937077,0.921054,0.169025,3,7,0,2.6012,-0.0263685,0.0880853
-0.937077,0.00544983,0.169025,2,3,0,2.39511,-0.0263685,0.0880853
-0.937077,0.0710472,0.169025,3,7,0,1.5422,-0.0263685,0.0880853
-0.937077,0.126513,0.169025,4,15,0,2.59588,-0.0263685,0.0880853
-0.937077,0.0653312,0.169025,1,3,0,3.48457,-0.0263685,0.0880853
-2.65069,0.946964,0.169025,2,7,0,4.08657,0.0105923,0.264611
-2.84789,0.958165,0.169025,2,7,0,3.45972,-0.205254,0.250938
-2.8323,0.911441,0.169025,3,7,0,4.17996,0.197002,0.10447
-2.14562,0.789315,0.169025,1,3,0,3.02766,-0.162469,0.116565
-2.17043,0.994864,0.169025,2,3,0,2.4777,0.169325,0.126117
-2.69594,0.997057,0.169025,3,7,0,2.9622,-0.240196,0.180288
-2.72662,0.98797,0.169025,2,3,0,2.78203,0.242775,0.169521
-3.55098,0.976311,0.169025,2,7,0,5.48424,-0.045185,0.354001
-1.83347,0.958319,0.169025,3,7,0,4.1681,-0.047383,0.179295
-2.78092,0.986593,0.169025,3,7,0,3.40869,0.0853366,0.272834
-2.67568,0.947127,0.169025,2,7,0,3.89775,0.219697,0.214791
-3.05942,0.958353,0.169025,1,1,0,3.06975,0.287637,0.220072
-1.96923,0.854317,0.169025,2,7,0,3.57356,0.121812,0.170949
-2.04221,0.956818,0.169025,2,7,0,2.37548,-0.155942,0.122884
-0.990999,0.604653,0.169025,2,5,0,2.0612,0.0390574,0.0881409
-0.990999,0.250546,0.169025,1,1,0,1.24622,0.0390574,0.0881409
