# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = normal_model
# start_datetime = 2021-05-27 01:27:53 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 50
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = ./ex_toy01/inputs.json
# init = ./ex_toy01/init.json
# random
#   seed = 2996367183 (Default)
# output
#   file = ./ex_toy01/output.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 888c0f6a
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,sigma
# Adaptation terminated
# Step size = 0.048678
# Diagonal elements of inverse mass matrix:
# 1, 1
22.6832,0.676592,0.048678,2,3,0,-21.8858,-1.06961,0.32242
23.726,1,0.048678,2,7,0,-22.7258,-0.923106,0.360201
24.6461,0.997557,0.048678,1,3,0,-23.8818,-0.972412,0.361667
24.1038,0.977612,0.048678,2,5,0,-23.6649,-1.00559,0.408648
23.3089,0.932943,0.048678,2,3,0,-23.2535,-0.933142,0.417548
24.3149,0.929879,0.048678,3,7,0,-19.785,-0.956629,0.386272
24.088,0.996251,0.048678,3,7,0,-23.9926,-1.02982,0.332731
24.3651,0.949426,0.048678,1,3,0,-22.6992,-1.04123,0.363026
24.2606,0.998317,0.048678,2,7,0,-24.2559,-0.948311,0.380228
24.6846,0.80304,0.048678,2,3,0,-22.4494,-1.00748,0.37457
24.1141,0.886489,0.048678,2,7,0,-23.2648,-0.94021,0.355512
22.1679,0.891988,0.048678,2,7,0,-22.1072,-1.08478,0.323898
24.7497,1,0.048678,2,3,0,-21.8613,-0.998971,0.361038
24.7374,0.995305,0.048678,3,7,0,-24.6582,-0.992706,0.369511
24.674,0.829197,0.048678,2,3,0,-23.288,-1.01292,0.355663
23.2921,0.755891,0.048678,2,3,0,-23.115,-0.906913,0.371653
24.4959,0.957081,0.048678,2,3,0,-22.8683,-0.961726,0.375012
23.7028,0.98715,0.048678,2,7,0,-23.5895,-1.01946,0.420754
24.5414,1,0.048678,2,3,0,-23.6613,-1.00939,0.386476
24.3774,0.965182,0.048678,3,7,0,-24.1669,-0.952561,0.358465
24.0999,0.996568,0.048678,2,7,0,-23.8207,-1.0218,0.329667
23.9278,0.885086,0.048678,3,7,0,-23.208,-0.983775,0.414937
24.0138,0.995523,0.048678,2,3,0,-23.7691,-0.977405,0.410679
24.0093,1,0.048678,2,3,0,-23.8991,-1.00011,0.412672
